ISO;Country;Subject Descriptor;Units;Scale;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Estimates Start After
AFG;Afghanistan;General government revenue;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6.845;9.826;12.676;14.733;18.946;18.986;17.036;19.391;21.722;21.265;25.210;24.346;23.684;24.569;28.156;27.059;30.570;26.941;25.694;17.465;n/a;2021
AFG;Afghanistan;General government total expenditure;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6.943;11.927;15.069;15.698;18.303;21.478;20.918;21.170;20.801;21.937;25.028;24.977;25.402;25.947;28.029;27.732;28.936;27.999;27.937;17.794;n/a;2021
AFG;Afghanistan;General government net debt;Percent of GDP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFG;Afghanistan;Current account balance;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;33.908;29.616;37.216;30.226;20.844;63.390;33.769;41.587;29.430;26.574;10.864;1.444;6.549;3.709;9.029;7.576;12.158;11.705;11.157;n/a;n/a;2020
ALB;Albania;Gross domestic product, constant prices;National currency;Billions;311.514;329.270;338.819;342.546;349.397;344.156;363.428;360.521;355.474;390.310;351.279;252.921;234.711;257.243;281.424;306.470;334.359;297.833;324.130;365.912;391.330;423.784;443.009;467.501;493.283;520.544;551.270;584.254;628.073;649.141;673.204;690.339;700.125;707.140;719.688;735.657;760.044;788.943;820.653;837.786;810.121;882.291;925.032;2022
ALB;Albania;Gross domestic product, constant prices;Percent change;;2.684;5.700;2.900;1.100;2.000;-1.500;5.600;-0.800;-1.400;9.800;-10.000;-28.000;-7.200;9.600;9.400;8.900;9.100;-10.924;8.829;12.891;6.946;8.293;4.537;5.529;5.515;5.526;5.903;5.983;7.500;3.354;3.707;2.545;1.418;1.002;1.774;2.219;3.315;3.802;4.019;2.088;-3.302;8.909;4.844;2022
ALB;Albania;Gross domestic product per capita, constant prices;National currency;Units;116,584.542;120,786.154;121,689.947;120,446.718;120,297.849;116,082.037;120,235.598;116,915.396;113,123.997;120,916.021;106,884.081;77,421.840;72,284.500;79,708.684;87,738.259;96,138.987;105,541.554;94,601.804;103,604.499;117,702.975;126,683.823;138,483.631;145,200.807;153,802.798;162,964.375;172,852.940;184,214.300;196,717.319;213,100.247;221,737.475;231,101.542;237,622.398;241,389.084;244,254.867;249,104.367;255,374.206;264,262.008;273,542.432;284,678.593;290,805.662;281,507.205;307,104.629;322,717.940;2021
ALB;Albania;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;5,557.555;5,757.844;5,800.928;5,741.664;5,734.567;5,533.600;5,731.600;5,573.326;5,392.591;5,764.035;5,095.136;3,690.679;3,445.783;3,799.692;4,182.460;4,582.920;5,031.138;4,509.643;4,938.799;5,610.870;6,038.985;6,601.478;6,921.684;7,331.739;7,768.469;8,239.854;8,781.447;9,377.463;10,158.433;10,570.167;11,016.550;11,327.398;11,506.955;11,643.566;11,874.740;12,173.622;12,597.301;13,039.696;13,570.554;13,862.630;13,419.375;14,639.597;15,383.880;2021
ALB;Albania;Inflation, average consumer prices;Index;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3.391;3.385;4.594;14.976;27.706;33.958;36.605;41.266;54.953;66.298;66.556;66.582;68.660;72.231;73.938;76.058;77.855;79.700;82.059;84.775;86.667;89.800;92.892;94.783;96.608;98.167;100.000;101.287;103.297;105.393;106.880;108.613;110.831;118.286;2022
ALB;Albania;Inflation, average consumer prices;Percent change;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.180;35.717;225.996;85.005;22.565;7.794;12.734;33.167;20.646;0.389;0.039;3.120;5.202;2.363;2.867;2.363;2.370;2.960;3.310;2.231;3.615;3.443;2.036;1.925;1.613;1.868;1.287;1.985;2.029;1.411;1.621;2.043;6.726;2022
ALB;Albania;Inflation, end of period consumer prices;Index;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3.391;3.391;6.919;23.289;30.495;35.318;37.443;43.959;62.453;67.878;67.179;70.004;72.474;73.692;76.123;77.800;79.385;81.380;83.843;85.700;88.700;91.800;93.400;95.700;97.400;98.100;100.000;102.165;104.011;105.882;107.100;108.225;112.229;120.563;2022
ALB;Albania;Inflation, end of period consumer prices;Percent change;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;--;104.047;236.580;30.941;15.818;6.015;17.402;42.073;8.686;-1.029;4.205;3.527;1.681;3.298;2.204;2.038;2.513;3.027;2.215;3.501;3.495;1.743;2.463;1.776;0.719;1.937;2.165;1.808;1.799;1.150;1.051;3.700;7.425;2022
ALB;Albania;Unemployment rate;Percent of total labor force;;5.028;4.224;2.813;3.335;4.410;5.853;5.430;5.164;6.033;6.721;8.457;8.900;26.500;22.300;18.400;12.900;12.300;14.900;17.700;18.400;16.800;16.440;15.751;15.000;14.400;14.100;13.800;13.400;13.100;13.800;14.000;14.000;13.400;15.900;17.500;17.100;15.200;13.700;12.300;11.470;11.675;11.400;11.100;2022
ALB;Albania;Population;Persons;Millions;2.672;2.726;2.784;2.844;2.904;2.965;3.023;3.084;3.142;3.228;3.287;3.267;3.247;3.227;3.208;3.188;3.168;3.148;3.129;3.109;3.089;3.060;3.051;3.040;3.027;3.011;2.993;2.970;2.947;2.928;2.913;2.905;2.900;2.895;2.889;2.881;2.876;2.884;2.883;2.881;2.878;2.873;2.866;2021
ALB;Albania;General government revenue;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;18.398;26.826;28.266;26.066;25.848;25.323;24.674;24.992;25.434;25.928;26.130;26.842;26.093;25.867;25.407;24.789;23.977;26.272;26.440;27.642;27.756;27.457;27.209;25.853;27.527;26.787;2022
ALB;Albania;General government total expenditure;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;30.300;36.751;37.108;33.838;32.685;31.535;29.680;30.155;28.892;29.191;29.309;31.726;32.679;29.387;28.923;28.229;29.193;31.729;30.758;29.139;29.162;29.077;29.075;32.552;32.119;30.445;2022
ALB;Albania;General government net debt;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;58.158;60.577;68.246;65.536;68.802;69.846;65.505;61.481;60.496;69.744;65.392;58.274;2022
ALB;Albania;Current account balance;Percent of GDP;;0.054;-0.455;-2.264;-1.583;-1.316;-1.158;0.057;0.265;-0.986;-2.691;-4.313;-12.368;-8.185;1.674;-3.706;-1.968;-7.894;-13.047;-6.944;-1.946;-7.070;-6.315;-10.179;-7.695;-5.849;-9.106;-6.656;-10.580;-15.768;-15.383;-11.321;-12.917;-10.202;-9.253;-10.797;-8.609;-7.572;-7.492;-6.754;-7.571;-8.659;-7.676;-5.966;2022
DZA;Algeria;Gross domestic product, constant prices;National currency;Billions;2,596.368;2,674.259;2,845.412;2,999.064;3,167.012;3,344.364;3,337.676;3,314.312;3,251.340;3,407.404;3,434.663;3,393.448;3,447.743;3,375.254;3,344.877;3,473.578;3,605.574;3,645.235;3,831.142;3,953.739;4,103.981;4,227.100;4,463.818;4,785.212;4,990.977;5,285.444;5,374.477;5,555.751;5,686.875;5,779.698;5,988.698;6,162.370;6,371.891;6,550.304;6,799.215;7,050.786;7,276.412;7,378.281;7,466.821;7,541.489;7,156.873;7,400.207;7,637.013;2022
DZA;Algeria;Gross domestic product, constant prices;Percent change;;-5.400;3.000;6.400;5.400;5.600;5.600;-0.200;-0.700;-1.900;4.800;0.800;-1.200;1.600;-2.102;-0.900;3.848;3.800;1.100;5.100;3.200;3.800;3.000;5.600;7.200;4.300;5.900;1.684;3.373;2.360;1.632;3.616;2.900;3.400;2.800;3.800;3.700;3.200;1.400;1.200;1.000;-5.100;3.400;3.200;2022
DZA;Algeria;Gross domestic product per capita, constant prices;National currency;Units;139,096.113;138,951.430;143,244.655;146,181.708;149,563.715;150,647.032;146,389.282;141,637.260;134,910.371;137,951.585;137,265.745;132,334.263;131,237.588;125,502.129;121,649.584;123,791.081;126,219.060;125,503.012;129,838.410;131,945.220;134,530.275;136,560.703;142,096.441;150,077.230;154,204.307;160,871.838;161,148.898;164,089.766;164,403.300;163,879.386;166,454.448;167,834.256;169,939.751;171,039.609;173,830.737;176,432.861;178,186.198;176,848.142;175,368.047;173,670.987;163,208.889;166,010.517;168,621.537;2019
DZA;Algeria;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;9,012.591;9,003.216;9,281.392;9,471.695;9,690.829;9,761.021;9,485.144;9,177.242;8,741.380;8,938.432;8,893.994;8,574.464;8,503.406;8,131.783;7,882.161;8,020.917;8,178.235;8,131.840;8,412.748;8,549.256;8,716.752;8,848.312;9,206.994;9,724.101;9,991.511;10,423.527;10,441.479;10,632.029;10,652.344;10,618.398;10,785.246;10,874.650;11,011.073;11,082.337;11,263.186;11,431.788;11,545.393;11,458.695;11,362.794;11,252.835;10,574.954;10,756.482;10,925.661;2019
DZA;Algeria;Inflation, average consumer prices;Index;;8.975;10.286;10.964;11.823;12.569;13.880;15.824;16.751;17.746;19.373;21.170;26.652;35.101;42.297;54.563;70.823;84.067;88.859;93.258;95.682;95.969;100.000;101.433;105.755;109.952;111.472;114.048;118.244;123.985;131.103;136.230;142.360;155.053;160.100;164.770;172.653;183.699;193.970;202.253;206.200;211.180;226.440;247.425;2022
DZA;Algeria;Inflation, average consumer prices;Percent change;;9.668;14.610;6.593;7.835;6.310;10.432;14.007;5.857;5.938;9.172;9.272;25.900;31.700;20.500;29.000;29.800;18.700;5.700;4.950;2.600;0.300;4.200;1.433;4.261;3.968;1.382;2.311;3.679;4.855;5.741;3.911;4.500;8.916;3.255;2.917;4.784;6.398;5.591;4.270;1.952;2.415;7.226;9.267;2022
DZA;Algeria;Inflation, end of period consumer prices;Index;;6.573;7.009;7.377;8.313;9.199;10.346;11.576;11.942;12.974;14.365;21.170;26.652;35.101;42.297;54.563;70.823;84.067;88.859;93.258;95.682;95.969;100.000;102.100;107.780;110.140;111.490;115.770;121.330;127.230;134.550;138.216;145.348;158.480;160.300;168.720;176.080;188.330;197.620;202.960;207.900;215.210;233.470;255.170;2022
DZA;Algeria;Inflation, end of period consumer prices;Percent change;;14.143;6.632;5.251;12.695;10.662;12.458;11.891;3.168;8.637;10.718;47.373;25.900;31.700;20.500;29.000;29.800;18.700;5.700;4.950;2.600;0.300;4.200;2.100;5.563;2.190;1.226;3.839;4.803;4.863;5.753;2.725;5.160;9.035;1.148;5.253;4.362;6.957;4.933;2.702;2.434;3.516;8.485;9.295;2022
DZA;Algeria;Unemployment rate;Percent of total labor force;;15.789;15.385;15.000;14.286;16.536;16.901;18.356;20.056;21.801;18.100;19.757;20.263;21.368;23.152;24.362;28.105;27.986;27.961;28.021;29.293;29.496;27.306;25.664;23.716;17.656;15.265;12.512;13.793;11.343;10.167;9.961;9.971;10.969;9.829;10.600;11.214;10.498;11.709;11.731;11.383;n/a;n/a;n/a;2019
DZA;Algeria;Population;Persons;Millions;18.666;19.246;19.864;20.516;21.175;22.200;22.800;23.400;24.100;24.700;25.022;25.643;26.271;26.894;27.496;28.060;28.566;29.045;29.507;29.965;30.506;30.954;31.414;31.885;32.366;32.855;33.351;33.858;34.591;35.268;35.978;36.717;37.495;38.297;39.114;39.963;40.836;41.721;42.578;43.424;43.851;44.577;45.291;2019
DZA;Algeria;General government revenue;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;28.896;31.596;29.478;26.905;29.189;29.968;32.107;33.331;27.363;29.948;38.272;34.991;35.449;37.078;36.024;40.739;42.814;39.834;47.566;36.792;37.212;40.019;39.109;35.786;33.305;30.544;28.614;32.558;33.476;32.202;30.530;29.881;34.192;2022
DZA;Algeria;General government total expenditure;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;25.260;29.941;30.616;35.360;33.586;31.376;29.179;30.953;31.183;31.935;28.600;31.570;35.216;29.263;29.170;28.882;29.279;34.949;39.353;43.946;38.698;41.174;43.494;36.649;41.290;46.222;41.995;41.119;40.321;41.786;42.428;37.077;37.050;2022
DZA;Algeria;General government net debt;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;77.878;62.961;74.070;98.432;116.261;98.204;69.895;72.905;82.066;62.849;48.404;45.184;30.566;23.474;1.944;-10.841;-20.874;-35.491;-39.640;-33.704;-31.086;-29.034;-30.019;-21.803;-7.631;13.313;21.580;25.723;30.524;43.830;51.732;41.196;2022
DZA;Algeria;Current account balance;Percent of GDP;;0.571;-0.472;-0.973;-0.179;0.144;1.660;-3.623;0.223;-3.678;-1.965;2.181;5.121;2.621;1.589;-4.334;-5.318;2.658;7.161;-1.888;0.041;16.699;12.896;7.680;12.979;13.027;20.526;24.738;22.671;20.146;0.299;7.541;9.900;5.879;0.398;-4.413;-16.442;-16.542;-13.332;-9.655;-9.851;-12.826;-2.766;9.773;2022
AGO;Angola;Gross domestic product, constant prices;National currency;Billions;210.654;201.385;201.385;209.843;222.434;230.219;236.895;246.567;261.679;261.788;252.756;283.298;315.601;350.220;387.031;427.141;475.013;509.567;533.472;545.109;561.760;585.388;665.385;685.279;760.338;874.608;975.606;1,112.289;1,236.487;1,247.104;1,307.703;1,353.106;1,468.691;1,541.458;1,615.797;1,631.043;1,588.961;1,586.577;1,565.693;1,554.699;1,467.041;1,484.632;1,529.850;2022
AGO;Angola;Gross domestic product, constant prices;Percent change;;2.406;-4.400;--;4.200;6.000;3.500;2.900;4.083;6.129;0.042;-3.450;12.084;11.403;10.969;10.511;10.364;11.208;7.274;4.691;2.181;3.055;4.206;13.666;2.990;10.953;15.029;11.548;14.010;11.166;0.859;4.859;3.472;8.542;4.955;4.823;0.944;-2.580;-0.150;-1.316;-0.702;-5.638;1.199;3.046;2022
AGO;Angola;Gross domestic product per capita, constant prices;National currency;Units;25,466.588;23,705.372;23,094.409;23,450.438;24,217.221;22,243.241;22,252.509;22,583.880;23,335.953;22,722.475;21,368.126;23,166.639;24,983.251;26,860.924;28,749.787;30,702.483;33,025.226;34,265.494;34,715.718;34,346.785;34,266.089;34,553.316;37,986.985;37,809.869;40,505.722;44,964.800;48,387.514;53,194.925;57,003.260;55,407.926;55,970.411;55,777.239;58,308.462;58,953.534;59,561.223;57,987.037;54,500.927;52,520.666;50,064.479;48,053.363;43,885.939;43,028.117;42,839.240;2021
AGO;Angola;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;3,496.048;3,254.269;3,170.396;3,219.271;3,324.535;3,053.547;3,054.820;3,100.310;3,203.555;3,119.337;2,933.412;3,180.311;3,429.696;3,687.462;3,946.765;4,214.831;4,533.696;4,703.960;4,765.766;4,715.120;4,704.042;4,743.472;5,214.845;5,190.531;5,560.617;6,172.758;6,642.628;7,302.588;7,825.396;7,606.389;7,683.606;7,657.088;8,004.574;8,093.129;8,176.552;7,960.448;7,481.876;7,210.026;6,872.841;6,596.756;6,024.653;5,906.891;5,880.962;2021
AGO;Angola;Inflation, average consumer prices;Index;;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.001;0.027;0.088;0.183;0.637;2.707;6.838;14.284;28.313;40.637;49.968;56.616;63.551;71.472;81.278;93.047;105.594;116.454;126.681;135.927;148.377;193.920;251.795;301.218;352.664;431.227;542.334;658.179;2022
AGO;Angola;Inflation, average consumer prices;Percent change;;46.708;1.391;1.833;1.833;1.833;1.833;1.833;1.833;1.833;1.833;1.833;85.265;299.097;1,379.476;949.771;2,672.230;4,146.010;221.492;107.429;248.248;325.029;152.586;108.893;98.219;43.525;22.961;13.305;12.249;12.465;13.721;14.480;13.484;10.285;8.782;7.298;9.159;30.694;29.844;19.629;17.079;22.277;25.765;21.360;2022
AGO;Angola;Inflation, end of period consumer prices;Index;;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.003;0.048;0.119;0.278;1.195;4.401;9.508;19.548;34.514;45.217;53.596;60.139;67.221;76.074;86.714;100.000;111.376;121.447;130.782;140.588;157.587;222.395;275.028;326.194;381.299;477.015;606.027;689.949;2022
AGO;Angola;Inflation, end of period consumer prices;Percent change;;n/a;1.833;1.833;1.833;1.833;1.833;1.833;1.833;1.833;1.833;1.833;175.720;495.793;1,837.874;971.954;3,783.921;1,650.825;149.621;134.809;329.001;268.350;116.068;105.590;76.560;31.013;18.530;12.207;11.776;13.170;13.987;15.322;11.376;9.042;7.687;7.498;12.091;41.125;23.667;18.604;16.893;25.103;27.046;13.848;2022
AGO;Angola;Unemployment rate;Percent of total labor force;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;Angola;Population;Persons;Millions;8.272;8.495;8.720;8.948;9.185;10.350;10.646;10.918;11.214;11.521;11.829;12.229;12.633;13.038;13.462;13.912;14.383;14.871;15.367;15.871;16.394;16.942;17.516;18.124;18.771;19.451;20.162;20.910;21.692;22.508;23.364;24.259;25.188;26.147;27.128;28.128;29.155;30.209;31.274;32.354;33.428;34.504;35.711;2021
AGO;Angola;General government revenue;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;39.104;34.882;27.629;41.128;42.858;37.463;28.681;29.715;30.987;33.697;40.027;42.440;48.431;37.110;42.789;45.483;41.340;36.746;30.736;24.134;17.523;17.516;22.866;21.179;21.345;23.307;23.219;2022
AGO;Angola;General government total expenditure;Percent of GDP;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;33.197;35.186;34.339;51.772;40.568;34.287;31.223;34.400;29.803;26.527;30.604;38.129;52.666;45.007;39.394;37.402;37.209;37.050;36.457;27.051;22.043;24.103;20.579;20.403;23.277;19.477;22.543;2022
AGO;Angola;General government net debt;Percent of GDP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;Angola;Current account balance;Percent of GDP;;1.051;-2.947;-7.958;-5.549;-2.488;2.306;-3.827;4.939;-4.777;-1.156;-1.873;-4.756;-7.821;-9.804;-6.843;-4.761;40.863;-9.412;-23.462;-22.728;7.125;-13.092;-0.982;-4.040;2.892;13.897;20.408;16.212;8.126;-10.769;8.957;11.705;10.818;6.107;-2.572;-8.841;-3.051;-0.519;7.304;6.079;1.526;11.220;9.581;2022
ATG;Antigua and Barbuda;Gross domestic product, constant prices;National currency;Billions;0.951;0.988;0.987;1.040;1.145;1.233;1.375;1.466;1.542;1.623;1.672;1.708;1.728;1.819;1.941;1.856;1.979;2.087;2.186;2.267;2.407;2.298;2.322;2.463;2.605;2.773;3.126;3.417;3.416;3.008;2.772;2.718;2.809;2.792;2.898;3.009;3.175;3.274;3.498;3.650;3.011;3.208;3.480;2022
ATG;Antigua and Barbuda;Gross domestic product, constant prices;Percent change;;8.162;3.815;-0.085;5.364;10.165;7.644;11.493;6.626;5.214;5.252;3.012;2.177;1.158;5.280;6.676;-4.360;6.606;5.471;4.731;3.709;6.203;-4.548;1.028;6.076;5.767;6.475;12.707;9.316;-0.014;-11.963;-7.841;-1.959;3.372;-0.601;3.797;3.824;5.497;3.144;6.824;4.344;-17.503;6.556;8.459;2022
ATG;Antigua and Barbuda;Gross domestic product per capita, constant prices;National currency;Units;13,897.923;14,542.114;14,698.328;15,712.878;17,593.631;19,260.895;21,853.146;23,712.645;25,326.308;26,902.125;27,739.640;28,113.624;27,981.121;28,807.268;29,953.797;27,893.892;28,933.820;29,677.337;30,254.454;30,619.288;31,845.587;29,887.626;29,891.972;31,406.162;32,888.530;34,662.967;38,657.721;41,803.612;41,329.011;35,966.708;32,755.785;31,759.557;32,366.781;31,706.276;32,423.398;33,157.402;34,447.844;34,990.329;36,814.364;37,840.606;30,757.546;32,298.137;34,531.517;2022
ATG;Antigua and Barbuda;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;8,035.730;8,408.199;8,498.521;9,085.130;10,172.575;11,136.582;12,635.412;13,710.568;14,643.582;15,554.714;16,038.962;16,255.198;16,178.585;16,656.261;17,319.180;16,128.150;16,729.433;17,159.331;17,493.019;17,703.964;18,413.006;17,280.920;17,283.433;18,158.932;19,016.032;20,042.005;22,351.758;24,170.701;23,896.288;20,795.824;18,939.279;18,363.264;18,714.358;18,332.457;18,747.095;19,171.493;19,917.622;20,231.285;21,285.936;21,879.305;17,783.905;18,674.669;19,966.001;2022
ATG;Antigua and Barbuda;Inflation, average consumer prices;Index;;35.001;39.014;40.640;41.594;43.193;43.623;43.841;45.420;48.509;50.625;53.961;56.400;58.091;59.892;63.777;65.522;67.465;67.709;69.918;70.711;70.597;71.963;73.696;75.165;76.691;78.300;79.700;80.829;85.140;84.672;87.525;90.551;93.608;94.600;95.631;96.557;96.085;98.422;99.614;101.040;102.109;103.770;111.585;2022
ATG;Antigua and Barbuda;Inflation, average consumer prices;Percent change;;18.999;11.465;4.170;2.346;3.844;0.996;0.500;3.602;6.800;4.362;6.591;4.518;3.000;3.100;6.485;2.737;2.965;0.362;3.262;1.135;-0.162;1.935;2.408;1.994;2.030;2.099;1.788;1.416;5.334;-0.550;3.370;3.457;3.377;1.059;1.089;0.969;-0.489;2.432;1.211;1.431;1.058;1.627;7.531;2022
ATG;Antigua and Barbuda;Inflation, end of period consumer prices;Index;;42.273;45.299;46.485;47.932;49.475;49.119;50.085;53.001;55.925;58.654;63.265;65.293;67.162;66.796;66.878;66.032;68.136;67.371;70.510;71.284;71.592;72.261;74.104;75.445;77.524;79.495;79.502;83.661;84.270;86.292;88.816;92.408;94.107;95.103;96.365;97.233;96.143;98.408;100.120;100.810;103.610;104.870;114.570;2022
ATG;Antigua and Barbuda;Inflation, end of period consumer prices;Percent change;;17.710;7.160;2.617;3.114;3.219;-0.721;1.967;5.822;5.518;4.880;7.861;3.206;2.862;-0.545;0.123;-1.265;3.187;-1.124;4.660;1.098;0.432;0.935;2.550;1.809;2.756;2.543;0.009;5.230;0.728;2.399;2.925;4.044;1.839;1.059;1.327;0.900;-1.121;2.356;1.739;0.689;2.778;1.216;9.250;2022
ATG;Antigua and Barbuda;Unemployment rate;Percent of total labor force;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
